order_id,runner_id,pickup_time,distance,duration,cancellation
1,1,"2020-01-01 18:15:34","20 km","32 min",NULL
2,1,"2020-01-01 19:10:54","20 km","27 min",NULL
3,1,"2020-01-03 00:12:37","13.4 km","20 min",NULL
4,2,"2020-01-04 13:53:03","23.4 km","40 min",NULL
5,3,"2020-01-08 21:10:57","10 km","15 min",NULL
6,3,NULL,NULL,NULL,"Restaurant Cancellation"
7,2,"2020-01-08 21:30:45","25 km","25 min",NULL
8,2,"2020-01-10 00:15:02","23.4 km","15 min",NULL
9,2,NULL,NULL,NULL,"Customer Cancellation"
10,1,"2020-01-11 18:50:20","10 km","10 min",NULL
